This data about player statistics from the 1986 MLB season
The first two fields are the player's name: Last, First
Then comes City in which the team played in 1986, 
At Bats, Hits, Home Runs, Runs, RBIs, Walks,
years in the Major Leagues, Career At Bats, Career Hits, Career
Home Runs, Career Runs, Career RBIs, Career Walks, League, Division,
Position(s), Put Outs, Assists, Errors, and 1987 Salary

The character fields are variable length, but the numeric fields
have fixed widths - each numeric field is placed in a field that
is 4 columns wide except for career at bats which is 5 columns
wide and salary which is 8 columns wide.

Allanson, Andy	Cleveland	                         293  66   1  30  29  14   1  293  66   1  30  29  14American	East	C	               446  33  20    .   
Ashby, Alan	Houston	                              315  81   7  24  38  39  14 3449 835  69 321 414 375National	West	C	               632  43  10 475.000
Davis, Alan	Seattle	                              479 130  18  66  72  76   3 1624 457  63 224 266 263American	West	1B	              880  82  14 480.000
Dawson, Andre	Montreal	                           496 141  20  65  78  37  11 56281575 225 828 838 354National	East	RF	              200  11   3 500.000
Galarraga, Andres	Montreal	                       321  87  10  39  42  30   2  396 101  12  48  46  33National	East	1B	              805  40   4  91.500
Griffin, Alfredo	Oakland	                         594 169   4  74  51  35  11 44081133  19 501 336 194American	West	SS	              282 421  25 750.000
Newman, Al	Montreal	                              185  37   1  23   8  21   2  214  42   1  30   9  24National	East	2B	               76 127   7  70.000
Salazar, Argenis	Kansas City	                     298  73   0  24  24   7   3  509 108   0  41  37  12American	West	SS	              121 283   9 100.000
Thomas, Andres	Atlanta	                           323  81   6  26  32   8   2  341  86   6  32  34   8National	West	SS	              143 290  19  75.000
Thornton, Andre	Cleveland	                        401  92  17  49  66  65  13 52061332 253 784 890 866American	East	DH	                0   0   01100.000
Trammell, Alan	Detroit	                           574 159  21 107  75  59  10 46311300  90 702 504 488American	East	SS	              238 445  22 517.143
Trevino, Alex	Los Angeles	                        202  53   4  31  26  27   9 1876 467  15 192 186 161National	West	C	               304  45  11 512.500
Van Slyke, Andy	St Louis	                         418 113  13  48  61  47   4 1512 392  41 205 204 203National	East	RF	              211  11   7 550.000
Wiggins, Alan	Baltimore	                          239  60   0  30  11  22   6 1941 510   4 309 103 207American	East	2B	              121 151   6 700.000
Almon, Bill	Pittsburgh	                           196  43   7  29  27  30  13 3231 825  36 376 290 238National	East	UT	               80  45   8 240.000
Beane, Billy	Minneapolis	                         183  39   3  20  15  11   3  201  42   3  20  16  11American	West	OF	              118   0   0    .   
Bell, Buddy	Cincinnati	                           568 158  20  89  75  73  15 80682273 1771045 993 732National	West	3B	              105 290  10 775.000
Biancalana, Buddy	Kansas City	                    190  46   2  24   8  15   5  479 102   5  65  23  39American	West	SS	              102 177  16 175.000
Bochte, Bruce	Oakland	                            407 104   6  57  43  65  12 52331478 100 643 658 653American	West	1B	              912  88   9    .   
Bochy, Bruce	San Diego	                           127  32   8  16  22  14   8  727 180  24  67  82  56National	West	C	               202  22   2 135.000
Bonds, Barry	Pittsburgh	                          413  92  16  72  48  65   1  413  92  16  72  48  65National	East	CF	              280   9   5 100.000
Bonilla, Bobby	Chicago	                           426 109   3  55  43  62   1  426 109   3  55  43  62American	West	O1	              361  22   2 115.000
Boone, Bob	California	                            442  98   7  48  49  43  15 59821501  96 555 702 533American	West	C	               812  84  11    .   
Brenly, Bob	San Francisco	                        472 116  16  60  62  74   6 1924 489  67 242 251 240National	West	C	               518  55   3 600.000
Buckner, Bill	Boston	                             629 168  18  73 102  40  18 84242464 16410081072 402American	East	1B	             1067 157  14 776.667
Butler, Brett	Cleveland	                          587 163   4  92  51  70   6 2695 747  17 442 198 317American	East	CF	              434   9   3 765.000
Dernier, Bob	Chicago	                             324  73   4  32  18  22   7 1931 491  13 291 108 180National	East	CF	              222   3   3 708.333
Diaz, Bo	Cincinnati	                              474 129  10  50  56  40  10 2331 604  61 246 327 166National	West	C	               732  83  13 750.000
Doran, Bill	Houston	                              550 152   6  92  37  81   5 2308 633  32 349 182 308National	West	2B	              262 329  16 625.000
Downing, Brian	California	                        513 137  20  90  95  90  14 52011382 166 763 734 784American	West	LF	              267   5   3 900.000
Grich, Bobby	California	                          313  84   9  42  30  39  17 68901833 2241033 8641087American	West	2B	              127 221   7    .   
Hatcher, Billy	Houston	                           419 108   6  55  36  22   3  591 149   8  80  46  31National	West	CF	              226   7   4 110.000
Horner, Bob	Atlanta	                              517 141  27  70  87  52   9 3571 994 215 545 652 337National	West	1B	             1378 102   8    .   
Jacoby, Brook	Cleveland	                          583 168  17  83  80  56   5 1646 452  44 219 208 136American	East	3B	              109 292  25 612.500
Kearney, Bob	Seattle	                             204  49   6  23  25  12   7 1309 308  27 126 132  66American	West	C	               419  46   5 300.000
Madlock, Bill	Los Angeles	                        379 106  10  38  60  30  14 62071906 146 859 803 571National	West	3B	               72 170  24 850.000
Meacham, Bobby	New York	                          161  36   0  19  10  17   4 1053 244   3 156  86 107American	East	SS	               70 149  12    .   
Melvin, Bob	San Francisco	                        268  60   5  24  25  15   2  350  78   5  34  29  18National	West	C	               442  59   6  90.000
Oglivie, Ben	Milwaukee	                           346  98   5  31  53  30  16 59131615 235 784 901 560American	East	DH	                0   0   0    .   
Roberts, Bip	San Diego	                           241  61   1  34  12  14   1  241  61   1  34  12  14National	West	2B	              166 172  10    .   
Robidoux, Billy Jo	Milwaukee	                     181  41   1  15  21  33   2  232  50   4  20  29  45American	East	1B	              326  29   5  67.500
Russell, Bill	Los Angeles	                        216  54   0  21  18  15  18 73181926  46 796 627 483National	West	UT	              103  84   5    .   
Sample, Billy	Atlanta	                            200  57   6  23  14  14   9 2516 684  46 371 230 195National	West	OF	               69   1   1    .   
Schroeder, Bill	Milwaukee	                        217  46   7  32  19   9   4  694 160  32  86  76  32American	East	UT	              307  25   1 180.000
Wynegar, Butch	New York	                          194  40   7  19  29  30  11 41831069  64 486 493 608American	East	C	               325  22   2    .   
Bando, Chris	Cleveland	                           254  68   2  28  26  22   6  999 236  21 108 117 118American	East	C	               359  30   4 305.000
Brown, Chris	San Francisco	                       416 132   7  57  49  33   3  932 273  24 113 121  80National	West	3B	               73 177  18 215.000
Castillo, Carmen	Cleveland	                       205  57   8  34  32   9   5  756 192  32 117 107  51American	East	OD	               58   4   4 247.500
Cooper, Cecil	Milwaukee	                          542 140  12  46  75  41  16 70992130 235 9871089 431American	East	1B	              697  61   9    .   
Davis, Chili	San Francisco	                       526 146  13  71  70  84   6 2648 715  77 352 342 289National	West	RF	              303   9   9 815.000
Fisk, Carlton	Chicago	                            457 101  14  42  63  22  17 65211767 2811003 977 619American	West	C	               389  39   4 875.000
Ford, Curt	St Louis	                              214  53   2  30  29  23   2  226  59   2  32  32  27National	East	OF	              109   7   3  70.000
Johnson, Cliff	Toronto	                           336  84  15  48  55  52  15 39451016 196 539 699 568American	East	DH	                8   1   0    .   
Lansford, Carney	Oakland	                         591 168  19  80  72  39   9 44781307 113 634 563 319American	West	3B	               67 147   41200.000
Lemon, Chet	Detroit	                              403 101  12  45  53  39  12 51501429 166 747 666 526American	East	CF	              316   6   5 675.000
Maldonado, Candy	San Francisco	                   405 102  18  49  85  20   6  950 231  29  99 138  64National	West	OF	              161  10   3 415.000
Martinez, Carmelo	San Diego	                      244  58   9  28  25  35   4 1335 333  49 164 179 194National	West	O1	              142  14   2 340.000
Moore, Charlie	Milwaukee	                         235  61   3  24  39  21  14 39261029  35 441 401 333American	East	C	               425  43   4    .   
Reynolds, Craig	Houston	                          313  78   6  32  41  12  12 3742 968  35 409 321 170National	West	SS	              106 206   7 416.667
Ripken, Cal	Baltimore	                            627 177  25  98  81  70   6 3210 927 133 529 472 313American	East	SS	              240 482  131350.000
Snyder, Cory	Cleveland	                           416 113  24  58  69  16   1  416 113  24  58  69  16American	East	OS	              203  70  10  90.000
Speier, Chris	Chicago	                            155  44   6  21  23  15  16 66311634  98 698 661 777National	East	3S	               53  88   3 275.000
Wilkerson, Curt	Texas	                            236  56   0  27  15  11   4 1115 270   1 116  64  57American	West	2S	              125 199  13 230.000
Anderson, Dave	Los Angeles	                       216  53   1  31  15  22   4  926 210   9 118  69 114National	West	3S	               73 152  11 225.000
Baker, Dusty	Oakland	                             242  58   4  25  19  27  19 71171981 242 9641013 762American	West	OF	               90   4   0    .   
Baylor, Don	Boston	                               585 139  31  93  94  62  17 75461982 31511411179 727American	East	DH	                0   0   0 950.000
